"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","Y","~","M","b",0.708491131075163,0.0819806033645633,8.64218000353744,0,0.543563373944851,0.860724796380623,0.708491131075163,0.638781018214839,0.638781018214839
"2","Y","~","X","c_p",-0.106721182630629,0.108278097036246,-0.985621151015465,0.324319054908588,-0.313909291362126,0.108579671577475,-0.106721182630629,-0.0799213562754436,-0.0879051931086209
"3","M","~","X","a",0.512923768418717,0.0930939801601144,5.50974152718069,3.59360992074897e-08,0.321728884183888,0.697081150012687,0.512923768418717,0.426037135691787,0.468596610840266
"4","Y","~~","Y","",0.927197680649043,0.1246975060238,7.43557517880168,1.0413891970984e-13,0.739974285461148,1.26213969317024,0.927197680649043,0.629071692329008,0.629071692329008
"5","M","~~","M","",0.980667971912977,0.123759549255783,7.92397821267239,2.22044604925031e-15,0.771999362075242,1.27606397473474,0.980667971912977,0.818492359011538,0.818492359011538
"6","X","~~","X","",0.826602331646802,0,NA,NA,0.826602331646802,0.826602331646802,0.826602331646802,1,0.826602331646802
"7","Y","~1","","",-0.0218420762244716,0.0987419901458861,-0.221203524379052,0.824933965173557,-0.199018195452315,0.193987361636018,-0.0218420762244716,-0.0179911043063567,-0.0179911043063567
"8","M","~1","","",-0.0309104946354595,0.0996018880925733,-0.310340448634169,0.756302074935955,-0.22993336663404,0.159984478029135,-0.0309104946354595,-0.0282391924831767,-0.0282391924831767
"9","X","~1","","",-0.00475515106993066,0,NA,NA,-0.00475515106993066,-0.00475515106993066,-0.00475515106993066,-0.00523017241627259,-0.00475515106993066
"10","indirect",":=","a*b","indirect",0.363401940842312,0.0779712848325983,4.66071505199028,3.1511272466922e-06,0.226948925071843,0.532299495578295,0.363401940842312,0.272144435334533,0.299330620204568
"11","direct",":=","c_p","direct",-0.106721182630629,0.108332276722917,-0.985128217175673,0.324561094661008,-0.313909291362126,0.108579671577475,-0.106721182630629,-0.0799213562754436,-0.0879051931086209
"12","total_c",":=","c_p+(a*b)","total_c",0.256680758211683,0.118330962987545,2.16917661896067,0.03006927752,0.0305711236574314,0.477951242575315,0.256680758211683,0.19222307905909,0.211425427095947
