"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","PWB","~","CMI","b",-0.188945525548419,0.0495990025853872,-3.80946220084042,0.000139269395372787,-0.288496253122749,-0.0871917158166122,-0.188945525548419,-0.32272673351417,-0.32272673351417
"2","PWB","~","REMS","c_p",-0.452645971225217,0.137613830255666,-3.28924767506485,0.00100455583272918,-0.751480607643807,-0.204635120232533,-0.452645971225217,-0.286350607879557,-1.00238341618092
"3","CMI","~","REMS","a",1.57610420339892,0.169477124422263,9.29980496643288,0,1.25189686554492,1.92626363851695,1.57610420339892,0.583748861934905,2.04343962372223
"4","PWB","~~","PWB","",0.143955725464671,0.0167559504761378,8.59131958343269,0,0.114008499072243,0.182215753833135,0.143955725464671,0.705958821981799,0.705958821981799
"5","CMI","~~","CMI","",0.392182294873775,0.0406042720352975,9.65864612799484,0,0.325758823094905,0.487365584911497,0.392182294873775,0.659237266189703,0.659237266189703
"6","REMS","~~","REMS","",0.0816071992110453,0,NA,NA,0.0816071992110453,0.0816071992110453,0.0816071992110453,1,0.0816071992110453
"7","PWB","~1","","",4.06614919199547,0.173117767356989,23.4877635847197,0,3.68529276452739,4.38025203789845,4.06614919199547,9.00447762020563,9.00447762020563
"8","CMI","~1","","",3.14071589484111,0.102266583428407,30.7110669932549,0,2.95180185658753,3.35310119718632,3.14071589484111,4.07197905603716,4.07197905603716
"9","REMS","~1","","",0.506923076923077,0,NA,NA,0.506923076923077,0.506923076923077,0.506923076923077,1.77450744508573,0.506923076923077
"10","indirect",":=","a*b","indirect",-0.297797837030281,0.0867773156340052,-3.43174751206045,0.00059970560837197,-0.479189243787933,-0.127167424090351,-0.297797837030281,-0.188391363404866,-0.659472594897301
"11","direct",":=","c_p","direct",-0.452645971225217,0.137682688819022,-3.28760263986566,0.00101044348196222,-0.751480607643807,-0.204635120232533,-0.452645971225217,-0.286350607879557,-1.00238341618092
"12","total_c",":=","c_p+(a*b)","total_c",-0.750443808255499,0.115623124243359,-6.49043012084672,8.55917559050567e-11,-0.976957509397447,-0.516624197592231,-0.750443808255499,-0.474741971284423,-1.66185601107822
