"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","REMS","=~","p1REMS","",1,0,NA,NA,1,1,0.271353286388076,0.943783732073668,0.943783732073668
"2","REMS","=~","p2REMS","",1.05456462565765,0.0443656504542564,23.7698447979473,0,0.967609548616619,1.14151970269869,0.286159576880816,0.945615490287671,0.945615490287671
"3","REMS","=~","p3REMS","",1.03110548880319,0.0460329525243789,22.3992907745189,0,0.940882559753363,1.12132841785301,0.279793862999529,0.929142095193043,0.929142095193043
"4","CMI","=~","p1CMI","",1,0,NA,NA,1,1,0.773436490565804,0.9631863422459,0.9631863422459
"5","CMI","=~","p2CMI","",1.00638068113653,0.0349684530161242,28.7796740871689,0,0.937843772629847,1.07491758964322,0.778371542191463,0.956918371001473,0.956918371001473
"6","CMI","=~","p3CMI","",0.936570270191876,0.0342149930176297,27.3730954645905,0,0.869510116146032,1.00363042423772,0.724377622945472,0.94753462427069,0.94753462427069
"7","PWB","=~","p1PWB","",1,0,NA,NA,1,1,0.305727092523932,0.635055606656421,0.635055606656421
"8","PWB","=~","p2PWB","",1.6063160082506,0.227681439960028,7.05510299184952,0.00000000000172462044645272,1.16006858598073,2.05256343052048,0.491094322877104,0.80095863220977,0.80095863220977
"9","PWB","=~","p3PWB","",1.37224975779219,0.205974670199849,6.66222577980464,0.0000000000269710920264288,0.968546822472973,1.77595269311141,0.419533928666476,0.708690595713687,0.708690595713687
"10","CMI","~","PWB","b",-0.804312949528491,0.251544675431326,-3.19749542759881,0.00138626609074044,-1.29733145387671,-0.311294445180275,-0.317932063638226,-0.317932063638226,-0.317932063638226
"11","CMI","~","REMS","c_p",1.22303966440044,0.243272304091453,5.02745131209289,0.000000497041627189887,0.746234709945112,1.69984461885576,0.429092545239553,0.429092545239553,0.429092545239553
"12","PWB","~","REMS","a",-0.632652195889659,0.113846437824204,-5.55706623747479,0.0000000274346672046732,-0.855787113793278,-0.40951727798604,-0.561521228223678,-0.561521228223678,-0.561521228223678
"13","p1REMS","~~","p1REMS","",0.00903306531767455,0.00165274117310078,5.46550510430331,0.0000000461590508038512,0.00579375214263054,0.0122723784927186,0.00903306531767455,0.109272267073099,0.109272267073099
"14","p2REMS","~~","p2REMS","",0.00968990785535081,0.00181800875761034,5.32995664338141,0.0000000982362160506511,0.00612667616685614,0.0132531395438455,0.00968990785535081,0.105811344528008,0.105811344528008
"15","p3REMS","~~","p3REMS","",0.0123955162870266,0.00197432424855062,6.27835893527941,0.00000000034216518507435,0.00852591186606325,0.0162651207079899,0.0123955162870266,0.136694966940282,0.136694966940282
"16","p1CMI","~~","p1CMI","",0.0466014231033916,0.00923587622969609,5.04569593013321,0.000000451873560569638,0.0284994383275177,0.0647034078792656,0.0466014231033916,0.072272070110964,0.072272070110964
"17","p2CMI","~~","p2CMI","",0.0557813397697246,0.00996591732771316,5.59721076700166,0.0000000217827831328066,0.0362485007345031,0.075314178804946,0.0557813397697246,0.0843072312398876,0.0843072312398876
"18","p3CMI","~~","p3CMI","",0.0597169817612268,0.00949108217105817,6.29190440931237,0.000000000313594483714041,0.0411148025316426,0.0783191609908111,0.0597169817612268,0.102178135808203,0.102178135808203
"19","p1PWB","~~","p1PWB","",0.13829407260294,0.0189214315526771,7.30885885763612,0.000000000000269340105774063,0.101208748223753,0.175379396982127,0.13829407260294,0.596704376454245,0.596704376454245
"20","p2PWB","~~","p2PWB","",0.13475867724711,0.0290029650806518,4.64637587475527,0.00000337817240314564,0.0779139102441596,0.19160344425006,0.13475867724711,0.358465269488655,0.358465269488655
"21","p3PWB","~~","p3PWB","",0.174437065772538,0.0275994347235128,6.32031298901676,0.000000000261034083237632,0.120343167720789,0.228530963824287,0.174437065772538,0.497757639546979,0.497757639546979
"22","REMS","~~","REMS","",0.0736326060336095,0.00939413589235546,7.83814571955772,0.00000000000000466293670342566,0.0552204380187177,0.0920447740485012,1,1,1
"23","CMI","~~","CMI","",0.335945853662289,0.0444522745819722,7.55745025021809,0.0000000000000410782519111308,0.248820996450738,0.423070710873839,0.561590779882337,0.561590779882337,0.561590779882337
"24","PWB","~~","PWB","",0.0639976928263293,0.0169396124707715,3.77799037237448,0.0001580989893466,0.0307966624715516,0.097198723181107,0.684693910254172,0.684693910254172,0.684693910254172
"25","p1REMS","~1","","",0.493717943876804,0.0230197339191138,21.4475955982645,0,0.448600094461646,0.538835793291963,0.493717943876804,1.71718194338502,1.71718194338502
"26","p2REMS","~1","","",0.503717944598419,0.0242287722700837,20.7900730166332,0,0.456230423559432,0.551205465637405,0.503717944598419,1.66453800477388,1.66453800477388
"27","p3REMS","~1","","",0.521794867802987,0.0241098078317832,21.6424316379296,0,0.47454051277851,0.569049222827463,0.521794867802987,1.73278131097629,1.73278131097629
"28","p1CMI","~1","","",3.88826922957931,0.0642912756724545,60.478955953354,0,3.76226064474117,4.01427781441746,3.88826922957931,4.84219177991725,4.84219177991725
"29","p2CMI","~1","","",3.88583332835115,0.0651253031550492,59.6670286370848,0,3.758190079685,4.0134765770173,3.88583332835115,4.77718556883515,4.77718556883515
"30","p3CMI","~1","","",4.05134614601257,0.0612079223496175,66.1898981453973,0,3.9313808226388,4.17131146938635,4.05134614601257,5.29943309491422,5.29943309491422
"31","p1PWB","~1","","",3.01442307959651,0.0385442742144839,78.2067671795405,0,2.93887769032588,3.08996846886713,3.01442307959651,6.26155262109271,6.26155262109271
"32","p2PWB","~1","","",3.2067307733643,0.0490899430355778,65.3235790279941,0,3.11051625301144,3.30294529371715,3.2067307733643,5.23007205428762,5.23007205428762
"33","p3PWB","~1","","",3.14128205717049,0.0473967016460292,66.2763852352088,0,3.04838622895828,3.2341778853827,3.14128205717049,5.30635760372713,5.30635760372713
