,Model,
 
,Estimate,Std. Err.,p,R Square,

,Regression Slopes,
 MtnlHlth,

Engmt,0.58,0.43,.178,,

DisEngmt,-3.75,0.47,.000,,

GRMS,-0.57,0.24,.018,,

 Engmt,

GRMS,0.20,0.04,.000,,

 DisEngmt,

GRMS,0.19,0.04,.000,,

Engmt,0.24,0.06,.000,,

,Intercepts,

MtnlHlth,27.73,1.03,.000,,

Engmt,1.92,0.10,.000,,

DisEngmt,0.82,0.13,.000,,

GRMS,1.99+,,,,

,Residual Variances,

MtnlHlth,10.07,0.85,.000,,

Engmt,0.34,0.03,.000,,

DisEngmt,0.21,0.02,.000,,

GRMS,0.81+,,,,

,Fit Indices,

chi^2,0.00(0),,,,

CFI,1.00,,,,

TLI,1.00,,,,

RMSEA,0.00,,,,

+Fixed parameter,



