"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","Valued","~","CENTERING","b1",-0.570268330647465,1.13790902813091,-0.501154588415707,0.616262331156303,-2.75986239687847,1.77826857650841,-0.570268330647465,-0.40472827146235,-0.838113518362509
"2","Valued","~","SRPed","b2",0.703683164329826,0.151844259199255,4.63424279614305,0.00000358246336706891,0.390091925206521,0.974186526416076,0.703683164329826,0.59403866336557,0.499414846398736
"3","Valued","~","CENTERING:SRPed","b3",0.118487112996102,0.249916363985562,0.474107061684634,0.635423563149647,-0.414546432521141,0.588923628351683,0.118487112996102,0.400376704937926,0.174138463977179
"4","Valued","~1","","Valued.mean",1.05666231993736,0.675402737687735,1.56449220735302,0.117702021600859,-0.153148990514475,2.4646383337813,1.05666231993736,1.55295836554399,1.55295836554399
"5","SRPed","~1","","SRPed.mean",4.51246913580247,0.060794894902521,74.2244746542913,0,4.37280590968023,4.61962336276705,4.51246913580247,7.85597846784344,7.85597846784344
"6","SRPed","~~","SRPed","SRPed.var",0.329934644027134,0.0599927773019025,5.49957276301444,0.0000000380712579239884,0.228822938209008,0.469772085174535,0.329934644027134,1,1
"7","Valued","~~","Valued","",0.29871032162073,0.0550333265538483,5.42780784527812,0.0000000570504115060544,0.205025706780488,0.422705173978702,0.29871032162073,0.645204536965996,0.645204536965996
"8","CENTERING","~~","CENTERING","",0.233196159122085,0,NA,NA,0.233196159122085,0.233196159122085,0.233196159122085,1,0.233196159122085
"9","CENTERING","~~","CENTERING:SRPed","",1.10379515317787,0,NA,NA,1.10379515317787,1.10379515317787,1.10379515317787,0.994154069269416,1.10379515317787
"10","CENTERING:SRPed","~~","CENTERING:SRPed","",5.28625590611187,0,NA,NA,5.28625590611187,5.28625590611187,5.28625590611187,1,5.28625590611187
"11","CENTERING","~1","","",0.37037037037037,0,NA,NA,0.37037037037037,0.37037037037037,0.37037037037037,0.76696498884737,0.37037037037037
"12","CENTERING:SRPed","~1","","",1.75308641975309,0,NA,NA,1.75308641975309,1.75308641975309,1.75308641975309,0.762481364649786,1.75308641975309
"13","Pre",":=","b2+b3*(0)","Pre",0.703683164329826,0.151920238317945,4.63192509517481,0.00000362281234611572,0.390091925206521,0.974186526416076,0.703683164329826,0.59403866336557,0.499414846398736
"14","Re",":=","b2+b3*(1)","Re",0.822170277325929,0.199351349940519,4.12422728800804,0.0000371981434006408,0.33567966636884,1.15582130301118,0.822170277325929,0.994415368303496,0.673553310375914
