"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","SRPed","~","TradPed","b",0.549148858809789,0.0455080227483904,12.0670779709763,0,0.458846260067868,0.644904340108121,0.549148858809789,0.716012372317713,0.716012372317713
"2","SRPed","~","Centering","c_p",0.126653236154136,0.0471916779798818,2.683804466714,0.00727896638756653,0.0316188798220556,0.210715584466927,0.126653236154136,0.106657156480578,0.217148838549057
"3","TradPed","~","Centering","a",-0.10145396397826,0.0904950544662982,-1.1210995404842,0.262245494265876,-0.292228294917642,0.0749737558060011,-0.10145396397826,-0.0655257935225249,-0.133407362693123
"4","SRPed","~~","SRPed","",0.165316760737783,0.0174630934245558,9.46663667877553,0,0.135496212383471,0.208558494444197,0.165316760737783,0.485958660767185,0.485958660767185
"5","TradPed","~~","TradPed","",0.575850474207157,0.0700125494889017,8.22496078790046,0.000000000000000222044604925031,0.461823228170107,0.741392491353743,0.575850474207157,0.995706370383243,0.995706370383243
"6","Centering","~~","Centering","",0.241248699271592,0,NA,NA,0.241248699271592,0.241248699271592,0.241248699271592,1,0.241248699271592
"7","SRPed","~1","","",2.00626885021714,0.230908881085231,8.68857378195258,0,1.53429887811296,2.43288635203252,2.00626885021714,3.43977748907744,3.43977748907744
"8","TradPed","~1","","",4.39403700652798,0.138580450396753,31.7074810620686,0,4.11449932449418,4.68302347667144,4.39403700652798,5.77795943727242,5.77795943727242
"9","Centering","~1","","",1.40645161290323,0,NA,NA,1.40645161290323,1.40645161290323,1.40645161290323,2.8634678093354,1.40645161290323
"10","indirect",":=","a*b","indirect",-0.0557133285403907,0.0517443519373894,-1.07670357158601,0.281612716262116,-0.170585131589033,0.0381990118556276,-0.0557133285403907,-0.0469172788680637,-0.0955213222465524
"11","direct",":=","c_p","direct",0.126653236154136,0.0472152915305113,2.68246222883724,0.00730824040626987,0.0316188798220556,0.210715584466927,0.126653236154136,0.106657156480578,0.217148838549057
"12","total_c",":=","c_p+(a*b)","total_c",0.0709399076137449,0.0679145264489101,1.04454689332349,0.296232435317966,-0.0531962832605623,0.205203744207986,0.0709399076137449,0.0597398776125144,0.121627516302505
