"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","Valued","~","TradPed","b1",0.685887979187017,0.131474090257974,5.21690606750872,0.000000181936463006238,0.415436268365517,0.918104315143207,0.685887979187017,0.74664321532476,0.74664321532476
"2","Valued","~","SRPed","b2",0.119486768461618,0.14639803825825,0.816177387915816,0.414398687625032,-0.160971396622965,0.433512630324551,0.119486768461618,0.104197038534242,0.104197038534242
"3","Valued","~","Centering","c_p",0.0147167964659799,0.103076118235087,0.142776005906771,0.886467087426294,-0.19431089970907,0.206885768366088,0.0147167964659799,0.0107798427132357,0.022339473250213
"4","TradPed","~","Centering","a1",0.31221027711584,0.136755137319746,2.28298755889415,0.0224311012095373,0.046569930214504,0.581966542847338,0.31221027711584,0.210080819943823,0.435358379742924
"5","SRPed","~","Centering","a2",0.35272523807562,0.11289026902662,3.12449639031727,0.00178109707151952,0.133697666943933,0.570809717620238,0.35272523807562,0.296278485415725,0.61398904192096
"6","Valued","~~","Valued","",0.18132954000084,0.027232854700222,6.65848446653526,0.000000000027666535729054,0.143072382548989,0.268285344497504,0.18132954000084,0.417818677104056,0.417818677104056
"7","TradPed","~~","TradPed","",0.491583853464109,0.128114505193957,3.83706632375376,0.000124512852802905,0.278974497143696,0.812901094604093,0.491583853464109,0.955866049091731,0.955866049091731
"8","SRPed","~~","SRPed","",0.301058554365014,0.0601268699803772,5.00705515625986,0.000000552690932575928,0.204257712598049,0.453696496097801,0.301058554365014,0.912219059079764,0.912219059079764
"9","Centering","~~","Centering","",0.232851473922902,0,NA,NA,0.232851473922902,0.232851473922902,0.232851473922902,1,0.232851473922902
"10","Valued","~1","","",0.709741530606603,0.468728306978528,1.51418533943826,0.129978838940987,-0.108604863471781,1.7697090749216,0.709741530606603,1.07735756040408,1.07735756040408
"11","TradPed","~1","","",3.86986445954283,0.230724816795166,16.7726407297505,0,3.38260103511036,4.28599786978894,3.86986445954283,5.39629232098014,5.39629232098014
"12","SRPed","~1","","",4.02869549365936,0.186365018820261,21.6172300958734,0,3.66582142438087,4.3816221474458,4.02869549365936,7.01275275860155,7.01275275860155
"13","Centering","~1","","",1.36904761904762,0,NA,NA,1.36904761904762,1.36904761904762,1.36904761904762,2.83712884107583,1.36904761904762
"14","indirect1",":=","a1*b1","indirect1",0.214141276052402,0.104723524836228,2.04482494632689,0.0408721194183621,0.0342500123310777,0.451280480788538,0.214141276052402,0.156855418880918,0.325057380469834
"15","indirect2",":=","a2*b2","indirect2",0.0421459988525107,0.0533269376055559,0.790332255046269,0.429333754335942,-0.0441104886622187,0.173603139089211,0.0421459988525107,0.0308713407617293,0.0639758398606408
"16","contrast",":=","indirect1-indirect2","contrast",0.171995277199892,0.125259523596817,1.37311137916752,0.169717724053396,-0.0263533485311282,0.45578449940548,0.171995277199892,0.125984078119189,0.261081540609194
"17","total_indirects",":=","indirect1+indirect2","total_indirects",0.256287274904913,0.109231907450709,2.34626750448868,0.0189624924554805,0.0528247720064276,0.471692194471585,0.256287274904913,0.187726759642647,0.389033220330475
"18","total_c",":=","c_p+(indirect1)+(indirect2)","total_c",0.271004071370893,0.141605175636013,1.91380060900804,0.0556456376702326,0.00332278074013184,0.577009250304017,0.271004071370893,0.198506602355883,0.411372693580688
"19","direct",":=","c_p","direct",0.0147167964659799,0.103127694979989,0.142704600047888,0.886523483592057,-0.19431089970907,0.206885768366088,0.0147167964659799,0.0107798427132357,0.022339473250213
