"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","CTR","=~","CEN","",1,0,NA,NA,1,1,0.48254687210803,1,1
"2","TrP","=~","p1T","",1,0,NA,NA,1,1,0.691355341882826,0.911530277746952,0.911530277746952
"3","TrP","=~","p2T","",0.963149792040474,0.0897894591449725,10.7267579202742,0,0.787165685924998,1.13913389815595,0.665878753760515,0.850341906684137,0.850341906684137
"4","TrP","=~","p3T","",0.951973183930944,0.107596802099969,8.84759737604899,0,0.741087326963322,1.16285904089857,0.65815174603986,0.757222722354094,0.757222722354094
"5","SRP","=~","p1S","",1,0,NA,NA,1,1,0.496950171131295,0.936056726959947,0.936056726959947
"6","SRP","=~","p2S","",1.06099942575304,0.133563341256774,7.94379217957182,0.00000000000000199840144432528,0.799220087234931,1.32277876427115,0.527263846198179,0.761141679673405,0.761141679673405
"7","SRP","=~","p3S","",1.40786816410454,0.179307625881129,7.85169151164755,0.00000000000000399680288865056,1.05643167522414,1.75930465298493,0.699640325082051,0.807037770847297,0.807037770847297
"8","Val","=~","p1V","",1,0,NA,NA,1,1,0.351885303121512,0.562328362751413,0.562328362751413
"9","Val","=~","p2V","",2.23813615768458,0.399111370863432,5.60779852711946,0.0000000204916366097763,1.45589224497185,3.02038007039732,0.787567220274057,0.924553193922424,0.924553193922424
"10","Val","=~","p3V","",2.19990907786225,0.40038024019622,5.49454957313605,0.0000000391708885327802,1.41517822695616,2.98463992876833,0.774115672703323,0.852324197865502,0.852324197865502
"11","CTR","~~","CEN","",0,0,NA,NA,0,0,0,NA,NA
"12","Val","~","TrP","b1",0.487275376499267,0.113108191159749,4.30804676038944,0.000016470257010015,0.265587395469687,0.708963357528847,0.957358637949146,0.957358637949146,0.957358637949146
"13","Val","~","SRP","b2",-0.0473201464577024,0.103883766078785,-0.455510502207004,0.648742013766661,-0.250928586550505,0.1562882936351,-0.0668278972480778,-0.0668278972480778,-0.0668278972480778
"14","Val","~","CTR","c_p",-0.00680746020999666,0.0531181583830761,-0.128156931964825,0.898024782257111,-0.11091713756592,0.0973022171459268,-0.00933519701503255,-0.00933519701503255,-0.00933519701503255
"15","TrP","~","CTR","a1",0.322254541163925,0.161481952842923,1.99560715913182,0.0459766996577355,0.00575572943860009,0.63875335288925,0.224924740492735,0.224924740492735,0.224924740492735
"16","SRP","~","CTR","a2",0.112649005399855,0.0872575395165549,1.29099452063374,0.196705577527678,-0.0583726294321737,0.283670640231883,0.109384055705293,0.109384055705293,0.109384055705293
"17","SRP","~","TrP","d1",0.553641815076398,0.0695308886044056,7.96253041186243,0.00000000000000177635683940025,0.417363777598697,0.6899198525541,0.770224558875633,0.770224558875633,0.770224558875633
"18","CEN","~~","CEN","",0,0,NA,NA,0,0,0,0,0
"19","p1T","~~","p1T","",0.0972828517666357,0.0256161112992213,3.79772131024403,0.000146032376761918,0.0470761961961924,0.147489507337079,0.0972828517666357,0.169112552750566,0.169112552750566
"20","p2T","~~","p2T","",0.169806903972547,0.0345265730565171,4.91815112072046,0.000000873654562916215,0.102136064272182,0.237477743672911,0.169806903972547,0.276918641736787,0.276918641736787
"21","p3T","~~","p3T","",0.322284669988441,0.0566519377744086,5.68885518570958,0.0000000127893866608275,0.211248912296196,0.433320427680686,0.322284669988441,0.426613748750655,0.426613748750655
"22","p1S","~~","p1S","",0.0348926771678721,0.0185791566426759,1.87805495367451,0.060373647797852,-0.00152180071490074,0.0713071550506449,0.0348926771678721,0.12379780391303,0.12379780391303
"23","p2S","~~","p2S","",0.20186435915746,0.0397763276026876,5.07498734357318,0.000000387521794653622,0.123904189618926,0.279824528695994,0.20186435915746,0.420663343463947,0.420663343463947
"24","p3S","~~","p3S","",0.262060449584279,0.0555861820428963,4.71448910418141,0.00000242317969778583,0.153113534742115,0.371007364426442,0.262060449584279,0.348690036425825,0.348690036425825
"25","p1V","~~","p1V","",0.267758335436736,0.0431945818615125,6.19888708021769,0.000000000568638025555401,0.183098510660904,0.352418160212567,0.267758335436736,0.683786812445315,0.683786812445315
"26","p2V","~~","p2V","",0.105361570594524,0.0355282631921079,2.96557053816042,0.00302122053120435,0.0357274543047328,0.174995686884316,0.105361570594524,0.145201391607845,0.145201391607845
"27","p3V","~~","p3V","",0.225646406861872,0.0475695764152261,4.74350254650674,0.00000210054301885698,0.132411750328203,0.318881063395541,0.225646406861872,0.273543461732928,0.273543461732928
"28","CTR","~~","CTR","",0.232851483781244,0.0359297655119945,6.48074042407847,0.0000000000912736553004834,0.162430437404765,0.303272530157722,1,1,1
"29","TrP","~~","TrP","",0.453791050353536,0.0859377807005215,5.28046042909719,0.000000128859653392155,0.285356095269212,0.622226005437859,0.949408861114276,0.949408861114276,0.949408861114276
"30","SRP","~~","SRP","",0.0881371957223207,0.0229634245221827,3.83815556940038,0.000123961940087902,0.0431297106971388,0.133144680747503,0.356889309808192,0.356889309808192,0.356889309808192
"31","Val","~~","Val","",0.022818455347415,0.0109330104226409,2.08711548469402,0.0368776966650253,0.00139014867643777,0.0442467620183922,0.184282453392255,0.184282453392255,0.184282453392255
"32","CEN","~1","","",0.3690479136259,0.0526501801864205,7.00943306023262,0.00000000000239275266267214,0.265855456680972,0.472240370570829,0.3690479136259,0.764791847087716,0.764791847087716
