"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","CTR","=~","CENTERING","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","0.000",NA,"[1.000, 1.000]","1.000","CTR.BY.CENTERING"
"2","TradPed","=~","p1_TR","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.870","0.018","0.000","[0.834, 0.906]","0.870***","TradPed.BY.p1_TR"
"3","TradPed","=~","p2_TR","1.069","0.055","0.000","[0.961, 1.176]","1.069***","0.869","0.019","0.000","[0.832, 0.905]","0.869***","TradPed.BY.p2_TR"
"4","TradPed","=~","ClearResponsibilities","1.000","0.052","0.000","[0.897, 1.103]","1.000***","0.855","0.020","0.000","[0.816, 0.893]","0.855***","TradPed.BY.ClearResponsibilities"
"5","SRPed","=~","InclusvClassrm","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.699","0.035","0.000","[0.629, 0.768]","0.699***","SRPed.BY.InclusvClassrm"
"6","SRPed","=~","EquitableEval","0.959","0.088","0.000","[0.787, 1.131]","0.959***","0.719","0.033","0.000","[0.653, 0.784]","0.719***","SRPed.BY.EquitableEval"
"7","SRPed","=~","MultPerspectives","1.474","0.117","0.000","[1.244, 1.704]","1.474***","0.839","0.024","0.000","[0.792, 0.887]","0.839***","SRPed.BY.MultPerspectives"
"8","SRPed","=~","DEIintegration","0.905","0.100","0.000","[0.710, 1.100]","0.905***","0.582","0.047","0.000","[0.490, 0.673]","0.582***","SRPed.BY.DEIintegration"
"9","CENTERING","~~","CENTERING","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Variances.CENTERING"
"10","CTR","~~","TradPed","-0.024","0.021","0.249","[-0.065, 0.017]","-0.024","-0.069","0.060","0.246","[-0.187, 0.048]","-0.069","CTR.WITH.TradPed"
"11","CTR","~~","SRPed","0.008","0.015","0.601","[-0.021, 0.037]","0.008","0.033","0.063","0.600","[-0.090, 0.157]","0.033","CTR.WITH.SRPed"
"12","TradPed","~~","SRPed","0.287","0.033","0.000","[0.222, 0.352]","0.287***","0.861","0.027","0.000","[0.809, 0.913]","0.861***","TradPed.WITH.SRPed"
"13","p1_TR","~~","p1_TR","0.158","0.019","0.000","[0.121, 0.194]","0.158***","0.243","0.032","0.000","[0.180, 0.305]","0.243***","Variances.p1_TR"
"14","p2_TR","~~","p2_TR","0.183","0.022","0.000","[0.141, 0.225]","0.183***","0.245","0.032","0.000","[0.182, 0.308]","0.245***","Variances.p2_TR"
"15","ClearResponsibilities","~~","ClearResponsibilities","0.182","0.020","0.000","[0.142, 0.222]","0.182***","0.270","0.033","0.000","[0.204, 0.335]","0.270***","Variances.ClearResponsibilities"
"16","InclusvClassrm","~~","InclusvClassrm","0.237","0.023","0.000","[0.191, 0.282]","0.237***","0.512","0.049","0.000","[0.415, 0.609]","0.512***","Variances.InclusvClassrm"
"17","EquitableEval","~~","EquitableEval","0.194","0.019","0.000","[0.157, 0.231]","0.194***","0.483","0.048","0.000","[0.389, 0.577]","0.483***","Variances.EquitableEval"
"18","MultPerspectives","~~","MultPerspectives","0.205","0.026","0.000","[0.154, 0.257]","0.205***","0.295","0.041","0.000","[0.216, 0.375]","0.295***","Variances.MultPerspectives"
"19","DEIintegration","~~","DEIintegration","0.361","0.034","0.000","[0.294, 0.429]","0.361***","0.662","0.054","0.000","[0.555, 0.768]","0.662***","Variances.DEIintegration"
"20","CTR","~~","CTR","0.241","0.019","0.000","[0.203, 0.279]","0.241***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.CTR"
"21","TradPed","~~","TradPed","0.493","0.053","0.000","[0.389, 0.596]","0.493***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.TradPed"
"22","SRPed","~~","SRPed","0.226","0.035","0.000","[0.158, 0.293]","0.226***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.SRPed"
"23","CENTERING","~1","","0.406","0.028","0.000","[0.352, 0.461]","0.406***","0.828","0.066","0.000","[0.699, 0.956]","0.828***","Means.CENTERING"
"24","p1_TR","~1","","4.300","0.046","0.000","[4.210, 4.390]","4.300***","5.332","0.222","0.000","[4.897, 5.767]","5.332***","Means.p1_TR"
