"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","REMS","=~","Inf32","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.572","0.056","0.000","[0.463, 0.681]","0.572***","REMS.BY.Inf32"
"2","REMS","=~","Inf38","1.063","0.169","0.000","[0.731, 1.394]","1.063***","0.606","0.052","0.000","[0.504, 0.709]","0.606***","REMS.BY.Inf38"
"3","REMS","=~","Inf21","0.894","0.151","0.000","[0.599, 1.190]","0.894***","0.560","0.057","0.000","[0.449, 0.671]","0.560***","REMS.BY.Inf21"
"4","REMS","=~","Inf17","0.970","0.165","0.000","[0.646, 1.294]","0.970***","0.552","0.057","0.000","[0.440, 0.665]","0.552***","REMS.BY.Inf17"
"5","REMS","=~","Inf9","1.010","0.163","0.000","[0.692, 1.329]","1.010***","0.596","0.053","0.000","[0.492, 0.701]","0.596***","REMS.BY.Inf9"
"6","REMS","=~","Inf36","1.026","0.169","0.000","[0.695, 1.357]","1.026***","0.579","0.055","0.000","[0.471, 0.686]","0.579***","REMS.BY.Inf36"
"7","REMS","=~","Inf5","0.907","0.156","0.000","[0.601, 1.213]","0.907***","0.545","0.058","0.000","[0.431, 0.659]","0.545***","REMS.BY.Inf5"
"8","REMS","=~","Inf22","0.945","0.165","0.000","[0.620, 1.269]","0.945***","0.533","0.059","0.000","[0.417, 0.648]","0.533***","REMS.BY.Inf22"
"9","REMS","=~","SClass6","1.146","0.173","0.000","[0.807, 1.485]","1.146***","0.654","0.048","0.000","[0.561, 0.747]","0.654***","REMS.BY.SClass6"
"10","REMS","=~","SClass31","1.039","0.169","0.000","[0.707, 1.371]","1.039***","0.586","0.054","0.000","[0.479, 0.692]","0.586***","REMS.BY.SClass31"
"11","REMS","=~","SClass8","0.893","0.150","0.000","[0.599, 1.187]","0.893***","0.563","0.056","0.000","[0.453, 0.674]","0.563***","REMS.BY.SClass8"
"12","REMS","=~","SClass40","1.036","0.168","0.000","[0.708, 1.364]","1.036***","0.592","0.054","0.000","[0.487, 0.698]","0.592***","REMS.BY.SClass40"
"13","REMS","=~","SClass2","0.963","0.164","0.000","[0.640, 1.285]","0.963***","0.550","0.058","0.000","[0.438, 0.663]","0.550***","REMS.BY.SClass2"
"14","REMS","=~","SClass34","0.949","0.161","0.000","[0.633, 1.266]","0.949***","0.554","0.057","0.000","[0.442, 0.666]","0.554***","REMS.BY.SClass34"
"15","REMS","=~","SClass11","0.867","0.162","0.000","[0.549, 1.185]","0.867***","0.489","0.063","0.000","[0.367, 0.612]","0.489***","REMS.BY.SClass11"
"16","REMS","=~","mInv27","1.045","0.168","0.000","[0.716, 1.373]","1.045***","0.599","0.053","0.000","[0.495, 0.703]","0.599***","REMS.BY.mInv27"
"17","REMS","=~","mInv30","0.970","0.158","0.000","[0.660, 1.280]","0.970***","0.586","0.054","0.000","[0.479, 0.692]","0.586***","REMS.BY.mInv30"
