,Model,
 
,Estimate,SE,p-value,

,Factor Loadings,
 REMS,

Inf32,1.00+,,,

Inf38,1.06**,0.17,.000,

Inf21,0.89**,0.15,.000,

Inf17,0.97**,0.17,.000,

Inf9,1.01**,0.16,.000,

Inf36,1.03**,0.17,.000,

Inf5,0.91**,0.16,.000,

Inf22,0.94**,0.17,.000,

SClass6,1.15**,0.17,.000,

SClass31,1.04**,0.17,.000,

SClass8,0.89**,0.15,.000,

SClass40,1.04**,0.17,.000,

SClass2,0.96**,0.16,.000,

SClass34,0.95**,0.16,.000,

SClass11,0.87**,0.16,.000,

mInv27,1.04**,0.17,.000,

mInv30,0.97**,0.16,.000,

mInv39,1.14**,0.17,.000,

mInv7,0.95**,0.16,.000,

mInv26,1.12**,0.17,.000,

mInv33,1.08**,0.17,.000,

mInv4,0.74**,0.15,.000,

mInv14,0.91**,0.15,.000,

mInv10,0.82**,0.16,.000,

Exot3,1.16**,0.17,.000,

Exot29,1.09**,0.17,.000,

Exot45,1.10**,0.17,.000,

Exot35,1.10**,0.17,.000,

Exot42,1.00**,0.17,.000,

Exot23,0.86**,0.15,.000,

Exot13,0.76**,0.15,.000,

Exot20,0.80**,0.16,.000,

Exot43,0.67**,0.14,.000,

mEnv37,1.05**,0.16,.000,

mEnv24,1.25**,0.18,.000,

mEnv19,1.19**,0.18,.000,

mEnv28,0.93**,0.16,.000,

mEnv18,1.07**,0.17,.000,

mEnv41,0.97**,0.17,.000,

mEnv12,0.87**,0.16,.000,

mWork25,1.11**,0.17,.000,

mWork15,1.15**,0.17,.000,

mWork1,1.07**,0.17,.000,

mWork16,0.93**,0.16,.000,

mWork44,0.95**,0.16,.000,

 CMI,

cmi1,1.00+,,,

cmi2,0.83**,0.10,.000,

cmi3,0.89**,0.09,.000,

cmi4,0.86**,0.10,.000,

cmi5,0.85**,0.10,.000,

cmi6,0.81**,0.09,.000,

cmi7,0.88**,0.10,.000,

cmi8,0.95**,0.10,.000,

cmi9,0.84**,0.10,.000,

cmi10,0.87**,0.10,.000,

cmi11,0.87**,0.09,.000,

cmi12,0.96**,0.11,.000,

cmi13,0.94**,0.11,.000,

cmi14,0.90**,0.10,.000,

cmi15,0.76**,0.09,.000,

cmi16,0.86**,0.11,.000,

cmi17,0.97**,0.11,.000,

cmi18,0.92**,0.10,.000,

cmi19,0.83**,0.10,.000,

cmi20,0.74**,0.09,.000,

cmi21,0.72**,0.08,.000,

cmi22,0.87**,0.10,.000,

cmi23,0.86**,0.11,.000,

cmi24,0.84**,0.10,.000,

cmi25,0.93**,0.11,.000,

cmi26,0.71**,0.10,.000,

cmi27,0.91**,0.09,.000,

cmi28,0.88**,0.09,.000,

cmi29,0.69**,0.10,.000,

cmi30,0.87**,0.10,.000,

cmi31,0.89**,0.10,.000,

cmi32,0.80+,,,

cmi33,0.96**,0.10,.000,

cmi34,0.91**,0.10,.000,

cmi35,0.83**,0.10,.000,

cmi36,0.74**,0.10,.000,

cmi37,0.87**,0.11,.000,

cmi38,1.00**,0.11,.000,

cmi39,0.87**,0.10,.000,

cmi40,1.04**,0.11,.000,

cmi41,0.89**,0.10,.000,

cmi42,0.95**,0.10,.000,

cmi43,1.06**,0.10,.000,

cmi44,0.78**,0.09,.000,

cmi45,0.81**,0.09,.000,

cmi46,0.82**,0.11,.000,

cmi47,1.00**,0.13,.000,

 PWB,

pwb1,1.00+,,,

pwb2,1.07**,0.16,.000,

pwb3,0.55**,0.13,.000,

pwb4,0.61**,0.13,.000,

pwb5,0.93**,0.15,.000,

pwb6,0.72**,0.13,.000,

pwb7,0.55**,0.14,.000,

pwb8,0.71**,0.14,.000,

pwb9,0.64**,0.13,.000,

pwb10,1.01**,0.17,.000,

pwb11,0.57**,0.15,.000,

,Residual Variances,

Inf32,0.16**,0.02,.000,

Inf38,0.15**,0.02,.000,

Inf21,0.14**,0.02,.000,

Inf17,0.17**,0.02,.000,

Inf9,0.15**,0.02,.000,

Inf36,0.17**,0.02,.000,

Inf5,0.15**,0.02,.000,

Inf22,0.18**,0.02,.000,

SClass6,0.14**,0.02,.000,

SClass31,0.16**,0.02,.000,

SClass8,0.14**,0.02,.000,

SClass40,0.16**,0.02,.000,

SClass2,0.17**,0.02,.000,

SClass34,0.16**,0.02,.000,

SClass11,0.19**,0.02,.000,

mInv27,0.16**,0.02,.000,

mInv30,0.14**,0.02,.000,

mInv39,0.15**,0.02,.000,

mInv7,0.16**,0.02,.000,

mInv26,0.15**,0.02,.000,

mInv33,0.14**,0.02,.000,

mInv4,0.17**,0.02,.000,

mInv14,0.13**,0.02,.000,

mInv10,0.19**,0.02,.000,

Exot3,0.14**,0.02,.000,

Exot29,0.14**,0.02,.000,

Exot45,0.15**,0.02,.000,

Exot35,0.14**,0.02,.000,

Exot42,0.17**,0.02,.000,

Exot23,0.16**,0.02,.000,

Exot13,0.17**,0.02,.000,

Exot20,0.19**,0.02,.000,

Exot43,0.15**,0.02,.000,

mEnv37,0.14**,0.02,.000,

mEnv24,0.12**,0.01,.000,

mEnv19,0.14**,0.02,.000,

mEnv28,0.18**,0.02,.000,

mEnv18,0.16**,0.02,.000,

mEnv41,0.17**,0.02,.000,

mEnv12,0.19**,0.02,.000,

mWork25,0.15**,0.02,.000,

mWork15,0.13**,0.01,.000,

mWork1,0.16**,0.02,.000,

mWork16,0.18**,0.02,.000,

mWork44,0.17**,0.02,.000,

cmi1,0.80**,0.09,.000,

cmi2,0.76**,0.09,.000,

cmi3,0.61**,0.07,.000,

cmi4,0.72**,0.08,.000,

cmi5,0.80**,0.09,.000,

cmi6,0.68**,0.08,.000,

cmi7,0.85**,0.10,.000,

cmi8,0.82**,0.10,.000,

cmi9,0.85**,0.10,.000,

cmi10,0.70**,0.08,.000,

cmi11,0.56**,0.07,.000,

cmi12,0.87**,0.10,.000,

cmi13,0.95**,0.11,.000,

cmi14,0.86**,0.10,.000,

cmi15,0.71**,0.08,.000,

cmi16,0.96**,0.11,.000,

cmi17,0.96**,0.11,.000,

cmi18,0.84**,0.10,.000,

cmi19,0.81**,0.09,.000,

cmi20,0.69**,0.08,.000,

cmi21,0.57**,0.07,.000,

cmi22,0.69**,0.08,.000,

cmi23,1.08**,0.12,.000,

cmi24,0.77**,0.09,.000,

cmi25,0.91**,0.11,.000,

cmi26,0.89**,0.10,.000,

cmi27,0.66**,0.08,.000,

cmi28,0.67**,0.08,.000,

cmi29,0.86**,0.10,.000,

cmi30,0.74**,0.09,.000,

cmi31,0.77**,0.09,.000,

cmi32,0.67**,0.08,.000,

cmi33,0.74**,0.09,.000,

cmi34,0.86**,0.10,.000,

cmi35,0.90**,0.10,.000,

cmi36,0.84**,0.10,.000,

cmi37,1.14**,0.13,.000,

cmi38,0.93**,0.11,.000,

cmi39,0.70**,0.08,.000,

cmi40,0.78**,0.09,.000,

cmi41,0.73**,0.08,.000,

cmi42,0.80**,0.09,.000,

cmi43,0.69**,0.08,.000,

cmi44,0.64**,0.07,.000,

cmi45,0.62**,0.07,.000,

cmi46,0.99**,0.11,.000,

cmi47,1.38**,0.16,.000,

pwb1,0.43**,0.06,.000,

pwb2,0.32**,0.04,.000,

pwb3,0.48**,0.06,.000,

pwb4,0.39**,0.05,.000,

pwb5,0.41**,0.05,.000,

pwb6,0.36**,0.04,.000,

pwb7,0.50**,0.06,.000,

pwb8,0.42**,0.05,.000,

pwb9,0.36**,0.04,.000,

pwb10,0.49**,0.06,.000,

pwb11,0.60**,0.07,.000,

,Latent Variances,

REMS,0.08**,0.02,.000,

CMI,0.76**,0.13,.000,

PWB,0.27**,0.07,.000,

,Latent Covariances,

REMS w/CMI,0.15**,0.03,.000,

REMS w/PWB,-0.08**,0.02,.000,

CMI w/PWB,-0.25**,0.05,.000,

,Fit Indices,

chi^2,7276.19(5148)**,,.000,

DF,5148.00,,,

PVALUE,0.00,,,

CFI,0.74,,,

RMSEA,0.05,,,

RMSEA.CI.LOWER,0.05,,,

RMSEA.CI.UPPER,0.05,,,

SRMR,0.06,,,

AIC,31010.72,,,

BIC,31645.09,,,

+Fixed parameter,
*p<0.05, **p<0.01, **p<0.001,



