"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","Y","~","M1","b1",0.45560114177048,0.107383746501396,4.24273837162646,0.000022080880312858,0.227279496686357,0.6582712383416,0.45560114177048,0.382739698717784,0.382739698717784
"2","Y","~","M2","b2",0.742946306414648,0.0745006070397421,9.97235238658291,0,0.596833011115585,0.890056638998448,0.742946306414648,0.692546547187559,0.692546547187559
"3","Y","~","X","c_p",0.0301147985598234,0.0986325854058124,0.305323017093383,0.760120147257714,-0.159614232189038,0.227333954639862,0.0301147985598234,0.0248691821095742,0.0222170101236425
"4","M1","~","X","a1",0.51033430037074,0.0809073507348415,6.30763825209484,0.000000000283325363170661,0.356255335580655,0.659683905429861,0.51033430037074,0.501669377646755,0.448168886004841
"5","M2","~","X","a2",-0.381113787966057,0.126458262757699,-3.01375157032081,0.00258039007954003,-0.623741255384609,-0.124877374189308,-0.381113787966057,-0.337632823512955,-0.301625997389496
"6","Y","~~","Y","",0.854627021436783,0.10642080085644,8.03063888411872,0.000000000000000888178419700125,0.670503626857546,1.07760600098974,0.854627021436783,0.465144533103349,0.465144533103349
"7","M1","~~","M1","",0.970326769385405,0.118439694626149,8.19258081041337,0.000000000000000222044604925031,0.757516479780327,1.24829904346384,0.970326769385405,0.748327835531518,0.748327835531518
"8","M2","~~","M2","",1.41451481380671,0.18100189546192,7.81491713220375,0.00000000000000555111512312578,1.11266604738737,1.83447718179595,1.41451481380671,0.88600407648667,0.88600407648667
"9","X","~~","X","",1.25300204345469,0,NA,NA,1.25300204345469,1.25300204345469,1.25300204345469,1,1.25300204345469
"10","Y","~1","","",0.112844782049607,0.0976778548229923,1.15527498279011,0.247977837260785,-0.0775605769672739,0.30120533382983,0.112844782049607,0.0832505540495657,0.0832505540495657
"11","M1","~1","","",-0.0885882202251338,0.0987402828341473,-0.897184185444701,0.369620642519597,-0.286055674388483,0.0937917775430877,-0.0885882202251338,-0.0777970125515908,-0.0777970125515908
"12","M2","~1","","",0.0168158040057793,0.120992390359946,0.138982327365821,0.889464114222934,-0.234016008487012,0.239786895651363,0.0168158040057793,0.0133085808367584,0.0133085808367584
"13","X","~1","","",0.00885171263460379,0,NA,NA,0.00885171263460379,0.00885171263460379,0.00885171263460379,0.0079077224312438,0.00885171263460379
"14","indirect1",":=","a1*b1","indirect1",0.232508889933548,0.0676841866294402,3.43520254156995,0.0005921111037408,0.123551959612925,0.395250200014826,0.232508889933548,0.192008786456457,0.171532024404178
"15","indirect2",":=","a2*b2","indirect2",-0.283147081093078,0.0935731689587045,-3.02594305872056,0.00247858974971082,-0.48260015351606,-0.105177214858468,-0.283147081093078,-0.233826446141083,-0.208890043034099
"16","contrast",":=","indirect1-indirect2","contrast",0.515655971026626,0.103116825170926,5.00069673568671,0.000000571235047264196,0.299423982717017,0.708213007217359,0.515655971026626,0.42583523259754,0.380422067438277
"17","total_indirects",":=","indirect1+indirect2","total_indirects",-0.0506381911595295,0.126653442527217,-0.399816934692855,0.689291356688134,-0.304057077108111,0.193129674245137,-0.0506381911595295,-0.0418176596846263,-0.0373580186299214
"18","total_c",":=","c_p+(indirect1)+(indirect2)","total_c",-0.0205233925997061,0.131032496105288,-0.15662826558089,0.87553782477064,-0.251381963419975,0.252035259137118,-0.0205233925997061,-0.0169484775750521,-0.0151410085062789
"19","direct",":=","c_p","direct",0.0301147985598234,0.0986819387165845,0.305170317400364,0.760236438073271,-0.159614232189038,0.227333954639862,0.0301147985598234,0.0248691821095742,0.0222170101236425
