"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","REMS","=~","p1REMS","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.944","0.012","0.000","[0.920, 0.967]","0.944***","REMS.BY.p1REMS"
"2","REMS","=~","p2REMS","1.055","0.044","0.000","[0.968, 1.142]","1.055***","0.946","0.012","0.000","[0.922, 0.969]","0.946***","REMS.BY.p2REMS"
"3","REMS","=~","p3REMS","1.031","0.046","0.000","[0.941, 1.121]","1.031***","0.929","0.014","0.000","[0.902, 0.956]","0.929***","REMS.BY.p3REMS"
"4","CMI","=~","p1CMI","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.963","0.008","0.000","[0.947, 0.980]","0.963***","CMI.BY.p1CMI"
"5","CMI","=~","p2CMI","1.006","0.035","0.000","[0.938, 1.075]","1.006***","0.957","0.009","0.000","[0.939, 0.975]","0.957***","CMI.BY.p2CMI"
"6","CMI","=~","p3CMI","0.937","0.034","0.000","[0.870, 1.004]","0.937***","0.948","0.010","0.000","[0.928, 0.967]","0.948***","CMI.BY.p3CMI"
"7","PWB","=~","p1PWB","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.635","0.060","0.000","[0.518, 0.752]","0.635***","PWB.BY.p1PWB"
"8","PWB","=~","p2PWB","1.606","0.228","0.000","[1.160, 2.053]","1.606***","0.801","0.050","0.000","[0.703, 0.899]","0.801***","PWB.BY.p2PWB"
"9","PWB","=~","p3PWB","1.372","0.206","0.000","[0.969, 1.776]","1.372***","0.709","0.056","0.000","[0.600, 0.818]","0.709***","PWB.BY.p3PWB"
"10","REMS","~~","CMI","0.128","0.021","0.000","[0.087, 0.168]","0.128***","0.608","0.054","0.000","[0.503, 0.713]","0.608***","REMS.WITH.CMI"
"11","REMS","~~","PWB","-0.047","0.010","0.000","[-0.066, -0.027]","-0.047***","-0.562","0.069","0.000","[-0.697, -0.426]","-0.562***","REMS.WITH.PWB"
"12","CMI","~~","PWB","-0.132","0.028","0.000","[-0.187, -0.078]","-0.132***","-0.559","0.068","0.000","[-0.692, -0.426]","-0.559***","CMI.WITH.PWB"
"13","p1REMS","~~","p1REMS","0.009","0.002","0.000","[0.006, 0.012]","0.009***","0.109","0.023","0.000","[0.065, 0.154]","0.109***","Variances.p1REMS"
"14","p2REMS","~~","p2REMS","0.010","0.002","0.000","[0.006, 0.013]","0.010***","0.106","0.023","0.000","[0.062, 0.150]","0.106***","Variances.p2REMS"
"15","p3REMS","~~","p3REMS","0.012","0.002","0.000","[0.009, 0.016]","0.012***","0.137","0.025","0.000","[0.087, 0.187]","0.137***","Variances.p3REMS"
"16","p1CMI","~~","p1CMI","0.047","0.009","0.000","[0.028, 0.065]","0.047***","0.072","0.016","0.000","[0.041, 0.104]","0.072***","Variances.p1CMI"
"17","p2CMI","~~","p2CMI","0.056","0.010","0.000","[0.036, 0.075]","0.056***","0.084","0.017","0.000","[0.050, 0.118]","0.084***","Variances.p2CMI"
"18","p3CMI","~~","p3CMI","0.060","0.009","0.000","[0.041, 0.078]","0.060***","0.102","0.019","0.000","[0.064, 0.140]","0.102***","Variances.p3CMI"
"19","p1PWB","~~","p1PWB","0.138","0.019","0.000","[0.101, 0.175]","0.138***","0.597","0.076","0.000","[0.448, 0.746]","0.597***","Variances.p1PWB"
"20","p2PWB","~~","p2PWB","0.135","0.029","0.000","[0.078, 0.192]","0.135***","0.358","0.080","0.000","[0.201, 0.515]","0.358***","Variances.p2PWB"
"21","p3PWB","~~","p3PWB","0.174","0.028","0.000","[0.120, 0.229]","0.174***","0.498","0.079","0.000","[0.343, 0.652]","0.498***","Variances.p3PWB"
"22","REMS","~~","REMS","0.074","0.009","0.000","[0.055, 0.092]","0.074***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.REMS"
"23","CMI","~~","CMI","0.598","0.073","0.000","[0.455, 0.742]","0.598***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.CMI"
"24","PWB","~~","PWB","0.093","0.024","0.000","[0.047, 0.140]","0.093***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.PWB"
"25","p1REMS","~1","","0.494","0.023","0.000","[0.449, 0.539]","0.494***","1.717","0.126","0.000","[1.470, 1.964]","1.717***","Means.p1REMS"
"26","p2REMS","~1","","0.504","0.024","0.000","[0.456, 0.551]","0.504***","1.665","0.124","0.000","[1.422, 1.907]","1.665***","Means.p2REMS"
"27","p3REMS","~1","","0.522","0.024","0.000","[0.475, 0.569]","0.522***","1.733","0.127","0.000","[1.485, 1.981]","1.733***","Means.p3REMS"
"28","p1CMI","~1","","3.888","0.064","0.000","[3.762, 4.014]","3.888***","4.842","0.286","0.000","[4.282, 5.402]","4.842***","Means.p1CMI"
"29","p2CMI","~1","","3.886","0.065","0.000","[3.758, 4.013]","3.886***","4.777","0.282","0.000","[4.224, 5.330]","4.777***","Means.p2CMI"
"30","p3CMI","~1","","4.051","0.061","0.000","[3.931, 4.171]","4.051***","5.299","0.311","0.000","[4.691, 5.908]","5.299***","Means.p3CMI"
"31","p1PWB","~1","","3.014","0.039","0.000","[2.939, 3.090]","3.014***","6.262","0.363","0.000","[5.549, 6.974]","6.262***","Means.p1PWB"
"32","p2PWB","~1","","3.207","0.049","0.000","[3.111, 3.303]","3.207***","5.230","0.307","0.000","[4.629, 5.831]","5.230***","Means.p2PWB"
"33","p3PWB","~1","","3.141","0.047","0.000","[3.048, 3.234]","3.141***","5.306","0.311","0.000","[4.697, 5.916]","5.306***","Means.p3PWB"
"34","REMS","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.REMS"
"35","CMI","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.CMI"
"36","PWB","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.PWB"
