"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","MntlHlth","~","Engmt","b1",0.144002875331127,0.0887639899506041,1.62231187907689,0.104736586455193,-0.0469819807353864,0.308699314763216,0.144002875331127,0.0945166971736848,0.0945166971736848
"2","MntlHlth","~","DisEngmt","b2",-0.39050912638697,0.0879655762112915,-4.439340287489,0.00000902350481579717,-0.559605228219816,-0.216802764288701,-0.39050912638697,-0.25288961598992,-0.25288961598992
"3","MntlHlth","~","GRMS","c_p",-0.535095782404543,0.0766691507598187,-6.97928406799284,0.00000000000296696001100827,-0.680281270455232,-0.385873953089975,-0.535095782404543,-0.476161163711847,-0.661486325897512
"4","Engmt","~","GRMS","a1",0.384005846403332,0.0415065789344997,9.25168626904473,0,0.29827923801123,0.458304460871166,0.384005846403332,0.520622467531173,0.72325227144165
"5","DisEngmt","~","GRMS","a2",0.363119886925392,0.0467508924140624,7.76712204142156,0.00000000000000799360577730113,0.273260211719543,0.454936174979264,0.363119886925392,0.498967970566853,0.693169697036746
"6","DisEngmt","~","Engmt","d21",0.0605134627745043,0.0599622487303832,1.00919268466064,0.312882234285502,-0.0580629401329158,0.176526765338443,0.0605134627745043,0.0613323449605318,0.0613323449605318
"7","MntlHlth","~~","MntlHlth","",0.415351569706477,0.037069286372192,11.2047360592854,0,0.353472339718332,0.495714332463109,0.415351569706477,0.634738063063029,0.634738063063029
"8","Engmt","~~","Engmt","",0.205492104064656,0.0208973122157693,9.83342268818621,0,0.171186252749815,0.255673697881434,0.205492104064656,0.728952246301752,0.728952246301752
"9","DisEngmt","~~","DisEngmt","",0.196323563529919,0.0168572138232121,11.6462640617149,0,0.167687771645905,0.234925810413437,0.196323563529919,0.715404218494212,0.715404218494212
"10","GRMS","~~","GRMS","",0.518162763066661,0,NA,NA,0.518162763066661,0.518162763066661,0.518162763066661,1,0.518162763066661
"11","MntlHlth","~1","","",5.14055067929806,0.229300158122225,22.4184349517891,0,4.69395537599418,5.57186690473737,5.14055067929806,6.35475758500383,6.35475758500383
"12","Engmt","~1","","",1.49426591621853,0.110415337778417,13.533137209771,0,1.28862290753735,1.71646323415633,1.49426591621853,2.81436136497715,2.81436136497715
"13","DisEngmt","~1","","",1.3999941319649,0.131532899441769,10.6436803104511,0,1.1469433082535,1.67396540566596,1.3999941319649,2.67248791170373,2.67248791170373
"14","GRMS","~1","","",2.55705627705628,0,NA,NA,2.55705627705628,2.55705627705628,2.55705627705628,3.55227996470272,2.55705627705628
"15","indirect1",":=","a1*b1","indirect1",0.055297946026043,0.0351447306591674,1.57343490727873,0.115618149511836,-0.0172435611053762,0.121116625399337,0.055297946026043,0.0492075161054605,0.0683594159200301
"16","indirect2",":=","a2*b2","indirect2",-0.14180162981697,0.0372891345269257,-3.80276001618054,0.000143092954986157,-0.234101489220097,-0.0771725833248733,-0.14180162981697,-0.126183818467921,-0.175295418499472
"17","indirect3",":=","a1*d21*b2","indirect3",-0.0090744649980702,0.00979073034129798,-0.926842501196614,0.354008314470156,-0.0305966374632713,0.00745748979749017,-0.0090744649980702,-0.00807501751205513,-0.0112178692272348
"18","contrast1",":=","indirect1-indirect2","contrast1",0.197099575843013,0.0487683442170705,4.0415474219447,0.0000530996398451222,0.11038322215561,0.294712465853596,0.197099575843013,0.175391334573382,0.243654834419502
"19","contrast2",":=","indirect1-indirect3","contrast2",0.0643724110241132,0.0386100479637932,1.66724504161401,0.0954656898258213,-0.0119063918103736,0.134537767654546,0.0643724110241132,0.0572825336175156,0.0795772851472649
"20","contrast3",":=","indirect2-indirect3","contrast3",-0.1327271648189,0.0390759898709764,-3.3966424205029,0.000682180473709604,-0.233792889888606,-0.0672755513680622,-0.1327271648189,-0.118108800955866,-0.164077549272237
"21","total_indirects",":=","indirect1+indirect2+indirect3","total_indirects",-0.0955781487889975,0.0526160617742154,-1.81652038495659,0.0692905838233291,-0.220864896611575,-0.00599101524168007,-0.0955781487889975,-0.0850513198745157,-0.118153871806676
"22","total_c",":=","c_p+indirect1+indirect2+indirect3","total_c",-0.630673931193541,0.0579082432519835,-10.8909180416544,0,-0.741472277645553,-0.512524687991281,-0.630673931193541,-0.561212483586362,-0.779640197704188
"23","direct",":=","c_p","direct",-0.535095782404543,0.0767075141101102,-6.97579355311185,0.00000000000304156699826308,-0.680281270455232,-0.385873953089975,-0.535095782404543,-0.476161163711847,-0.661486325897512
